text,label,processed_text,sentiment,avg_word_length,text_length,pos_tags
"In today's lecture, we will discuss decision trees in detail.",sound,today lecture discus decision tree detail,0.0,6.0,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('decision', 'NN'), ('tree', 'NN'), ('detail', 'NN')]"
"For quantum computing to work, we need to understand natural language processing first.",sound,quantum computing work need understand natural language processing first,0.175,7.111111111111111,9,"[('quantum', 'NN'), ('computing', 'VBG'), ('work', 'NN'), ('need', 'NN'), ('understand', 'VBP'), ('natural', 'JJ'), ('language', 'NN'), ('processing', 'NN'), ('first', 'RB')]"
Someone was unintelligible murmurs—it was impossible to hear anything.,noise,someone unintelligible murmursit impossible hear anything,-0.6666666666666666,8.666666666666666,6,"[('someone', 'NN'), ('unintelligible', 'JJ'), ('murmursit', 'NN'), ('impossible', 'JJ'), ('hear', 'NN'), ('anything', 'NN')]"
Can anyone explain the principle of data structures?,sound,anyone explain principle data structure,0.0,7.0,5,"[('anyone', 'NN'), ('explain', 'VBP'), ('principle', 'JJ'), ('data', 'NNS'), ('structure', 'NN')]"
"Next, we'll explore how data structures works in bioinformatics scenarios.",sound,next well explore data structure work bioinformatics scenario,0.0,6.75,8,"[('next', 'RB'), ('well', 'RB'), ('explore', 'RB'), ('data', 'NNS'), ('structure', 'NN'), ('work', 'NN'), ('bioinformatics', 'NNS'), ('scenario', 'NN')]"
Unintelligible murmurs about random whispers kept interfering.,noise,unintelligible murmur random whisper kept interfering,-0.5,8.0,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('random', 'NN'), ('whisper', 'NN'), ('kept', 'VBD'), ('interfering', 'VBG')]"
The ambient noise was too distracting during the session.,noise,ambient noise distracting session,0.0,7.5,4,"[('ambient', 'JJ'), ('noise', 'RB'), ('distracting', 'VBG'), ('session', 'NN')]"
Can someone mute the air conditioner noise? It's really loud.,noise,someone mute air conditioner noise really loud,0.1,5.714285714285714,7,"[('someone', 'NN'), ('mute', 'NN'), ('air', 'NN'), ('conditioner', 'NN'), ('noise', 'NN'), ('really', 'RB'), ('loud', 'JJ')]"
"Uh, like, there was some announcements in the background.",noise,uh like announcement background,0.0,7.0,4,"[('uh', 'NNS'), ('like', 'IN'), ('announcement', 'NN'), ('background', 'NN')]"
Random noises like outside honking made it hard to focus.,noise,random noise like outside honking made hard focus,-0.2638888888888889,5.25,8,"[('random', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('outside', 'IN'), ('honking', 'VBG'), ('made', 'VBN'), ('hard', 'JJ'), ('focus', 'NN')]"
The echo from footsteps made the voice unclear.,noise,echo footstep made voice unclear,0.0,5.6,5,"[('echo', 'JJ'), ('footstep', 'NN'), ('made', 'VBD'), ('voice', 'NN'), ('unclear', 'JJ')]"
The concept of microcontrollers is essential for understanding edge computing.,sound,concept microcontrollers essential understanding edge computing,0.0,9.666666666666666,6,"[('concept', 'NN'), ('microcontrollers', 'NNS'), ('essential', 'JJ'), ('understanding', 'JJ'), ('edge', 'NN'), ('computing', 'VBG')]"
Can anyone explain the principle of space complexity?,sound,anyone explain principle space complexity,0.0,7.4,5,"[('anyone', 'NN'), ('explain', 'NN'), ('principle', 'JJ'), ('space', 'NN'), ('complexity', 'NN')]"
The application of decision trees in semantic analysis is critical for this field.,sound,application decision tree semantic analysis critical field,0.0,7.428571428571429,7,"[('application', 'NN'), ('decision', 'NN'), ('tree', 'NN'), ('semantic', 'JJ'), ('analysis', 'NN'), ('critical', 'JJ'), ('field', 'NN')]"
"Uh, like, there was some random whispers in the background.",noise,uh like random whisper background,-0.5,5.8,5,"[('uh', 'NNS'), ('like', 'IN'), ('random', 'JJ'), ('whisper', 'NN'), ('background', 'NN')]"
"For decision trees to work, we need to understand topic modeling first.",sound,decision tree work need understand topic modeling first,0.25,6.0,8,"[('decision', 'NN'), ('tree', 'NN'), ('work', 'NN'), ('need', 'NN'), ('understand', 'VBP'), ('topic', 'NN'), ('modeling', 'NN'), ('first', 'RB')]"
Real-world examples of optimization techniques include gradient descent.,sound,realworld example optimization technique include gradient descent,0.0,8.428571428571429,7,"[('realworld', 'NN'), ('example', 'NN'), ('optimization', 'NN'), ('technique', 'NN'), ('include', 'VBP'), ('gradient', 'JJ'), ('descent', 'NN')]"
"In today's lecture, we will discuss machine learning in detail.",sound,today lecture discus machine learning detail,0.0,6.5,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('machine', 'NN'), ('learning', 'VBG'), ('detail', 'NN')]"
Background sounds of door slamming disrupted the lecture.,noise,background sound door slamming disrupted lecture,0.4,7.166666666666667,6,"[('background', 'NN'), ('sound', 'VBD'), ('door', 'JJ'), ('slamming', 'NN'), ('disrupted', 'VBN'), ('lecture', 'NN')]"
"In today's lecture, we will discuss cloud storage in detail.",sound,today lecture discus cloud storage detail,0.0,6.0,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('cloud', 'JJ'), ('storage', 'NN'), ('detail', 'NN')]"
The concept of 3D printing is essential for understanding data preprocessing.,sound,concept printing essential understanding data preprocessing,0.0,9.0,6,"[('concept', 'NN'), ('printing', 'VBG'), ('essential', 'JJ'), ('understanding', 'NN'), ('data', 'NNS'), ('preprocessing', 'NN')]"
Unintelligible murmurs about random laughter kept interfering.,noise,unintelligible murmur random laughter kept interfering,-0.5,8.166666666666666,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('random', 'NN'), ('laughter', 'NN'), ('kept', 'VBD'), ('interfering', 'VBG')]"
Background sounds of ambient noise disrupted the lecture.,noise,background sound ambient noise disrupted lecture,0.4,7.166666666666667,6,"[('background', 'NN'), ('sound', 'VBD'), ('ambient', 'JJ'), ('noise', 'RB'), ('disrupted', 'VBN'), ('lecture', 'NN')]"
The echo from ambient noise made the voice unclear.,noise,echo ambient noise made voice unclear,0.0,5.333333333333333,6,"[('echo', 'JJ'), ('ambient', 'NN'), ('noise', 'NN'), ('made', 'VBN'), ('voice', 'NN'), ('unclear', 'JJ')]"
Can anyone explain the principle of sensors and actuators?,sound,anyone explain principle sensor actuator,0.0,7.2,5,"[('anyone', 'NN'), ('explain', 'NN'), ('principle', 'NN'), ('sensor', 'NN'), ('actuator', 'NN')]"
"Next, we'll explore how cloud storage works in IoT devices scenarios.",sound,next well explore cloud storage work iot device scenario,0.0,5.333333333333333,9,"[('next', 'RB'), ('well', 'RB'), ('explore', 'RB'), ('cloud', 'JJ'), ('storage', 'NN'), ('work', 'NN'), ('iot', 'JJ'), ('device', 'NN'), ('scenario', 'NN')]"
Unintelligible murmurs about late arrivals kept interfering.,noise,unintelligible murmur late arrival kept interfering,-0.3,7.666666666666667,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('late', 'JJ'), ('arrival', 'NN'), ('kept', 'VBD'), ('interfering', 'VBG')]"
The relationship between deep learning and semantic analysis is fundamental.,sound,relationship deep learning semantic analysis fundamental,0.0,8.5,6,"[('relationship', 'NN'), ('deep', 'JJ'), ('learning', 'NN'), ('semantic', 'JJ'), ('analysis', 'NN'), ('fundamental', 'NN')]"
Real-world examples of decision trees include linear regression.,sound,realworld example decision tree include linear regression,0.0,7.285714285714286,7,"[('realworld', 'NN'), ('example', 'NN'), ('decision', 'NN'), ('tree', 'NN'), ('include', 'VBP'), ('linear', 'JJ'), ('regression', 'NN')]"
"Next, we'll explore how quantum computing works in machine learning scenarios.",sound,next well explore quantum computing work machine learning scenario,0.0,6.444444444444445,9,"[('next', 'RB'), ('well', 'RB'), ('explore', 'RB'), ('quantum', 'JJ'), ('computing', 'VBG'), ('work', 'NN'), ('machine', 'NN'), ('learning', 'VBG'), ('scenario', 'NN')]"
Can anyone explain the principle of semantic analysis?,sound,anyone explain principle semantic analysis,0.0,7.6,5,"[('anyone', 'NN'), ('explain', 'NN'), ('principle', 'NN'), ('semantic', 'JJ'), ('analysis', 'NN')]"
"Remember, sensors and actuators is a key concept in digital signal processing.",sound,remember sensor actuator key concept digital signal processing,0.0,6.875,8,"[('remember', 'VB'), ('sensor', 'NN'), ('actuator', 'NN'), ('key', 'JJ'), ('concept', 'NN'), ('digital', 'JJ'), ('signal', 'NN'), ('processing', 'NN')]"
Someone was announcements—it was impossible to hear anything.,noise,someone announcementsit impossible hear anything,-0.6666666666666666,8.8,5,"[('someone', 'NN'), ('announcementsit', 'NN'), ('impossible', 'JJ'), ('hear', 'NN'), ('anything', 'NN')]"
Random noises like mic feedback made it hard to focus.,noise,random noise like mic feedback made hard focus,-0.39583333333333337,4.875,8,"[('random', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('mic', 'JJ'), ('feedback', 'NN'), ('made', 'VBD'), ('hard', 'JJ'), ('focus', 'NN')]"
Can anyone explain the principle of data preprocessing?,sound,anyone explain principle data preprocessing,0.0,7.8,5,"[('anyone', 'NN'), ('explain', 'VBP'), ('principle', 'NN'), ('data', 'NNS'), ('preprocessing', 'NN')]"
The application of multi-threading in 3D printing is critical for this field.,sound,application multithreading printing critical field,0.0,9.2,5,"[('application', 'NN'), ('multithreading', 'VBG'), ('printing', 'VBG'), ('critical', 'JJ'), ('field', 'NN')]"
Let's calculate the support vector machines using the formula provided.,sound,let calculate support vector machine using formula provided,0.0,6.5,8,"[('let', 'VB'), ('calculate', 'VB'), ('support', 'NN'), ('vector', 'NN'), ('machine', 'NN'), ('using', 'VBG'), ('formula', 'NN'), ('provided', 'VBD')]"
I couldn't hear the lecture because of the unintelligible murmurs.,noise,couldnt hear lecture unintelligible murmur,0.0,7.6,5,"[('couldnt', 'NN'), ('hear', 'JJ'), ('lecture', 'NN'), ('unintelligible', 'JJ'), ('murmur', 'NN')]"
Real-world examples of virtual reality include artificial intelligence.,sound,realworld example virtual reality include artificial intelligence,-0.6,8.428571428571429,7,"[('realworld', 'NN'), ('example', 'NN'), ('virtual', 'JJ'), ('reality', 'NN'), ('include', 'VBP'), ('artificial', 'JJ'), ('intelligence', 'NN')]"
The echo from random laughter made the voice unclear.,noise,echo random laughter made voice unclear,-0.5,5.666666666666667,6,"[('echo', 'JJ'), ('random', 'NN'), ('laughter', 'NN'), ('made', 'VBD'), ('voice', 'NN'), ('unclear', 'JJ')]"
Random noises like background chatter made it hard to focus.,noise,random noise like background chatter made hard focus,-0.39583333333333337,5.625,8,"[('random', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('background', 'NN'), ('chatter', 'NN'), ('made', 'VBD'), ('hard', 'JJ'), ('focus', 'NN')]"
The application of data preprocessing in robotics is critical for this field.,sound,application data preprocessing robotics critical field,0.0,8.166666666666666,6,"[('application', 'NN'), ('data', 'NNS'), ('preprocessing', 'VBG'), ('robotics', 'NNS'), ('critical', 'JJ'), ('field', 'NN')]"
The application of software engineering in decision trees is critical for this field.,sound,application software engineering decision tree critical field,0.0,7.857142857142857,7,"[('application', 'NN'), ('software', 'NN'), ('engineering', 'NN'), ('decision', 'NN'), ('tree', 'JJ'), ('critical', 'JJ'), ('field', 'NN')]"
The relationship between gradient descent and artificial intelligence is fundamental.,sound,relationship gradient descent artificial intelligence fundamental,-0.6,10.0,6,"[('relationship', 'NN'), ('gradient', 'JJ'), ('descent', 'NN'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('fundamental', 'JJ')]"
Can someone mute the random whispers? It's really loud.,noise,someone mute random whisper really loud,-0.2,5.666666666666667,6,"[('someone', 'NN'), ('mute', 'NN'), ('random', 'NN'), ('whisper', 'IN'), ('really', 'RB'), ('loud', 'JJ')]"
The relationship between wireless communication and data structures is fundamental.,sound,relationship wireless communication data structure fundamental,0.0,9.5,6,"[('relationship', 'NN'), ('wireless', 'JJ'), ('communication', 'NN'), ('data', 'NNS'), ('structure', 'NN'), ('fundamental', 'JJ')]"
"In today's lecture, we will discuss data structures in detail.",sound,today lecture discus data structure detail,0.0,6.166666666666667,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('data', 'NNS'), ('structure', 'NN'), ('detail', 'NN')]"
Real-world examples of artificial intelligence include software engineering.,sound,realworld example artificial intelligence include software engineering,-0.6,9.142857142857142,7,"[('realworld', 'NN'), ('example', 'NN'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('include', 'VBP'), ('software', 'NN'), ('engineering', 'NN')]"
Unintelligible murmurs about inaudible murmurs kept interfering.,noise,unintelligible murmur inaudible murmur kept interfering,0.0,8.333333333333334,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('inaudible', 'JJ'), ('murmur', 'NN'), ('kept', 'VBD'), ('interfering', 'VBG')]"
The coughing and sneezing was too distracting during the session.,noise,coughing sneezing distracting session,0.0,8.5,4,"[('coughing', 'VBG'), ('sneezing', 'VBG'), ('distracting', 'VBG'), ('session', 'NN')]"
Unintelligible murmurs about phone ringing kept interfering.,noise,unintelligible murmur phone ringing kept interfering,0.0,7.833333333333333,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('phone', 'NN'), ('ringing', 'VBG'), ('kept', 'VBD'), ('interfering', 'VBG')]"
Real-world examples of distributed systems include augmented reality.,sound,realworld example distributed system include augmented reality,0.0,8.0,7,"[('realworld', 'NN'), ('example', 'NN'), ('distributed', 'JJ'), ('system', 'NN'), ('include', 'VBP'), ('augmented', 'VBN'), ('reality', 'NN')]"
Real-world examples of digital signal processing include multi-threading.,sound,realworld example digital signal processing include multithreading,0.0,8.571428571428571,7,"[('realworld', 'NN'), ('example', 'NN'), ('digital', 'JJ'), ('signal', 'NN'), ('processing', 'NN'), ('include', 'VBP'), ('multithreading', 'VBG')]"
The relationship between distributed systems and serverless computing is fundamental.,sound,relationship distributed system serverless computing fundamental,0.0,9.833333333333334,6,"[('relationship', 'NN'), ('distributed', 'VBD'), ('system', 'NN'), ('serverless', 'NN'), ('computing', 'VBG'), ('fundamental', 'JJ')]"
Can anyone explain the principle of cloud computing?,sound,anyone explain principle cloud computing,0.0,7.2,5,"[('anyone', 'NN'), ('explain', 'NN'), ('principle', 'JJ'), ('cloud', 'NN'), ('computing', 'VBG')]"
Let's calculate the serverless computing using the formula provided.,sound,let calculate serverless computing using formula provided,0.0,7.285714285714286,7,"[('let', 'VB'), ('calculate', 'NN'), ('serverless', 'NN'), ('computing', 'VBG'), ('using', 'VBG'), ('formula', 'NN'), ('provided', 'VBD')]"
The random whispers was too distracting during the session.,noise,random whisper distracting session,-0.5,7.75,4,"[('random', 'JJ'), ('whisper', 'IN'), ('distracting', 'VBG'), ('session', 'NN')]"
Can someone mute the unintelligible murmurs? It's really loud.,noise,someone mute unintelligible murmur really loud,0.1,6.833333333333333,6,"[('someone', 'NN'), ('mute', 'NN'), ('unintelligible', 'JJ'), ('murmur', 'NN'), ('really', 'RB'), ('loud', 'JJ')]"
Ambient noises like announcements were very distracting.,noise,ambient noise like announcement distracting,0.0,7.8,5,"[('ambient', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('announcement', 'NN'), ('distracting', 'VBG')]"
Background sounds of coughing and sneezing disrupted the lecture.,noise,background sound coughing sneezing disrupted lecture,0.4,7.833333333333333,6,"[('background', 'NN'), ('sound', 'VBD'), ('coughing', 'VBG'), ('sneezing', 'VBG'), ('disrupted', 'VBN'), ('lecture', 'NN')]"
The echo from static noises made the voice unclear.,noise,echo static noise made voice unclear,0.5,5.166666666666667,6,"[('echo', 'JJ'), ('static', 'JJ'), ('noise', 'NN'), ('made', 'VBN'), ('voice', 'NN'), ('unclear', 'JJ')]"
"Remember, serverless computing is a key concept in deep learning.",sound,remember serverless computing key concept deep learning,0.0,7.0,7,"[('remember', 'VB'), ('serverless', 'NN'), ('computing', 'VBG'), ('key', 'JJ'), ('concept', 'NN'), ('deep', 'JJ'), ('learning', 'NN')]"
The unintelligible murmurs was too distracting during the session.,noise,unintelligible murmur distracting session,0.0,9.5,4,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('distracting', 'VBG'), ('session', 'NN')]"
"For support vector machines to work, we need to understand artificial intelligence first.",sound,support vector machine work need understand artificial intelligence first,-0.175,7.222222222222222,9,"[('support', 'NN'), ('vector', 'NN'), ('machine', 'NN'), ('work', 'NN'), ('need', 'NN'), ('understand', 'VBP'), ('artificial', 'JJ'), ('intelligence', 'NN'), ('first', 'RB')]"
"Uh, like, there was some coughing and sneezing in the background.",noise,uh like coughing sneezing background,0.0,6.4,5,"[('uh', 'NNS'), ('like', 'IN'), ('coughing', 'VBG'), ('sneezing', 'VBG'), ('background', 'NN')]"
"Remember, cloud computing is a key concept in optimization techniques.",sound,remember cloud computing key concept optimization technique,0.0,7.571428571428571,7,"[('remember', 'VB'), ('cloud', 'JJ'), ('computing', 'VBG'), ('key', 'JJ'), ('concept', 'JJ'), ('optimization', 'NN'), ('technique', 'NN')]"
The echo from late arrivals made the voice unclear.,noise,echo late arrival made voice unclear,-0.3,5.166666666666667,6,"[('echo', 'NN'), ('late', 'JJ'), ('arrival', 'NN'), ('made', 'VBD'), ('voice', 'NN'), ('unclear', 'JJ')]"
The application of semantic analysis in deep learning is critical for this field.,sound,application semantic analysis deep learning critical field,0.0,7.428571428571429,7,"[('application', 'NN'), ('semantic', 'JJ'), ('analysis', 'NN'), ('deep', 'JJ'), ('learning', 'VBG'), ('critical', 'JJ'), ('field', 'NN')]"
Someone was phone ringing—it was impossible to hear anything.,noise,someone phone ringingit impossible hear anything,-0.6666666666666666,7.166666666666667,6,"[('someone', 'NN'), ('phone', 'NN'), ('ringingit', 'NN'), ('impossible', 'JJ'), ('hear', 'NN'), ('anything', 'NN')]"
Random noises like mic feedback made it hard to focus.,noise,random noise like mic feedback made hard focus,-0.39583333333333337,4.875,8,"[('random', 'JJ'), ('noise', 'NN'), ('like', 'IN'), ('mic', 'JJ'), ('feedback', 'NN'), ('made', 'VBD'), ('hard', 'JJ'), ('focus', 'NN')]"
The relationship between wireless communication and digital signal processing is fundamental.,sound,relationship wireless communication digital signal processing fundamental,0.0,9.571428571428571,7,"[('relationship', 'NN'), ('wireless', 'JJ'), ('communication', 'NN'), ('digital', 'JJ'), ('signal', 'NN'), ('processing', 'NN'), ('fundamental', 'JJ')]"
"Uh, like, there was some mic feedback in the background.",noise,uh like mic feedback background,0.0,5.4,5,"[('uh', 'NNS'), ('like', 'IN'), ('mic', 'JJ'), ('feedback', 'NN'), ('background', 'NN')]"
The footsteps was too distracting during the session.,noise,footstep distracting session,0.0,8.666666666666666,3,"[('footstep', 'NN'), ('distracting', 'VBG'), ('session', 'NN')]"
The door slamming was too distracting during the session.,noise,door slamming distracting session,0.0,7.5,4,"[('door', 'NN'), ('slamming', 'VBG'), ('distracting', 'VBG'), ('session', 'NN')]"
The concept of cloud computing is essential for understanding network protocols.,sound,concept cloud computing essential understanding network protocol,0.0,8.285714285714286,7,"[('concept', 'NN'), ('cloud', 'NN'), ('computing', 'VBG'), ('essential', 'JJ'), ('understanding', 'NN'), ('network', 'NN'), ('protocol', 'NN')]"
Background sounds of footsteps disrupted the lecture.,noise,background sound footstep disrupted lecture,0.4,7.8,5,"[('background', 'NN'), ('sound', 'VBD'), ('footstep', 'RB'), ('disrupted', 'VBN'), ('lecture', 'NN')]"
"For cybersecurity to work, we need to understand digital signal processing first.",sound,cybersecurity work need understand digital signal processing first,0.125,7.375,8,"[('cybersecurity', 'NN'), ('work', 'NN'), ('need', 'NN'), ('understand', 'VBP'), ('digital', 'JJ'), ('signal', 'NN'), ('processing', 'NN'), ('first', 'RB')]"
"Uh, like, there was some random whispers in the background.",noise,uh like random whisper background,-0.5,5.8,5,"[('uh', 'NNS'), ('like', 'IN'), ('random', 'JJ'), ('whisper', 'NN'), ('background', 'NN')]"
I couldn't hear the lecture because of the unintelligible murmurs.,noise,couldnt hear lecture unintelligible murmur,0.0,7.6,5,"[('couldnt', 'NN'), ('hear', 'JJ'), ('lecture', 'NN'), ('unintelligible', 'JJ'), ('murmur', 'NN')]"
Can anyone explain the principle of big data analytics?,sound,anyone explain principle big data analytics,0.0,6.333333333333333,6,"[('anyone', 'NN'), ('explain', 'NN'), ('principle', 'NN'), ('big', 'JJ'), ('data', 'NNS'), ('analytics', 'NNS')]"
"Uh, like, there was some unintelligible murmurs in the background.",noise,uh like unintelligible murmur background,0.0,7.2,5,"[('uh', 'NNS'), ('like', 'IN'), ('unintelligible', 'JJ'), ('murmur', 'NN'), ('background', 'NN')]"
Random noises like late arrivals made it hard to focus.,noise,random noise like late arrival made hard focus,-0.36388888888888893,4.875,8,"[('random', 'JJ'), ('noise', 'RB'), ('like', 'IN'), ('late', 'JJ'), ('arrival', 'NN'), ('made', 'VBD'), ('hard', 'JJ'), ('focus', 'NN')]"
The echo from echoing sound made the voice unclear.,noise,echo echoing sound made voice unclear,0.4,5.333333333333333,6,"[('echo', 'JJ'), ('echoing', 'VBG'), ('sound', 'NN'), ('made', 'VBD'), ('voice', 'NN'), ('unclear', 'JJ')]"
Unintelligible murmurs about phone ringing kept interfering.,noise,unintelligible murmur phone ringing kept interfering,0.0,7.833333333333333,6,"[('unintelligible', 'JJ'), ('murmur', 'NN'), ('phone', 'NN'), ('ringing', 'VBG'), ('kept', 'VBD'), ('interfering', 'VBG')]"
"Uh, like, there was some coughing and sneezing in the background.",noise,uh like coughing sneezing background,0.0,6.4,5,"[('uh', 'NNS'), ('like', 'IN'), ('coughing', 'VBG'), ('sneezing', 'VBG'), ('background', 'NN')]"
"In today's lecture, we will discuss parallel processing in detail.",sound,today lecture discus parallel processing detail,0.0,7.0,6,"[('today', 'NN'), ('lecture', 'NN'), ('discus', 'NN'), ('parallel', 'JJ'), ('processing', 'NN'), ('detail', 'NN')]"
